#     T         Cp        H-H298        S      -(G-H298)/T      H        delta Hf     log K
#    deg-K    J/mol-K      kJ/mol     J/mol-K     J/mol-K      kJ/mol      kJ/mol
#      0        0.        -14.741       0.        INFINITE   -119.421     -82.388    INFINITE
     300      73.956       0.136     270.771     270.316    -104.544    -104.804      4.1432
     400      93.989       8.536     294.797     273.457     -96.144    -111.103     -0.5459
     500     112.568      18.883     317.808     280.042     -85.797    -116.426     -3.5141

     600     128.738      30.968     339.797     288.184     -73.712    -120.786     -5.5782
     700     142.656      44.555     360.714     297.064     -60.125    -124.266     -7.1017
     800     154.758      59.439     380.571     306.272     -45.241    -126.958     -8.2734
     900     165.385      75.458     399.426     315.584     -29.222    -128.942     -9.2017
    1000     174.614      92.470     417.341     324.871     -12.210    -130.312     -9.9542

    1100     182.684     110.344     434.371     334.058       5.664    -131.171    -10.5751
    1200     189.732     128.973     450.576     343.098      24.293    -131.605    -11.0951
    1300     195.871     148.260     466.010     351.964      43.580    -131.694    -11.5360
    1400     201.220     168.120     480.726     360.640      63.440    -131.507    -11.9138
    1500     205.888     188.481     494.772     369.118      83.801    -131.102    -12.2404

    1600     209.971     209.278     508.193     377.394     104.598    -130.526    -12.5251
    1700     213.554     230.459     521.032     385.468     125.779    -129.816    -12.7751
    1800     216.708     251.975     533.329     393.343     147.295    -129.005    -12.9961
    1900     219.491     273.788     545.122     401.024     169.108    -128.120    -13.1924
    2000     221.956     295.863     556.445     408.513     191.183    -127.181    -13.3679

    2100     224.146     318.170     567.328     415.819     213.490    -126.208    -13.5255
    2200     226.098     340.684     577.801     422.945     236.004    -125.216    -13.6676
    2300     227.842     363.383     587.891     429.898     258.703    -124.217    -13.7964
    2400     229.405     386.246     597.621     436.685     281.566    -123.223    -13.9135
    2500     230.811     409.258     607.015     443.312     304.578    -122.243    -14.0203

    2600     232.079     432.404     616.093     449.784     327.724    -121.284    -14.1182
    2700     233.225     455.670     624.873     456.107     350.990    -120.353    -14.2081
    2800     234.264     479.045     633.374     462.287     374.365    -119.456    -14.2909
    2900     235.209     502.520     641.612     468.329     397.840    -118.597    -14.3675
    3000     236.070     526.084     649.600     474.239     421.404    -117.781    -14.4384

    3100     236.857     549.731     657.354     480.021     445.051    -117.012    -14.5044
    3200     237.578     573.454     664.886     485.681     468.774    -116.293    -14.5658
    3300     238.240     597.245     672.207     491.223     492.565    -115.627    -14.6232


