#   THERMODYNAMIC FUNCTIONS CALCULATED FROM COEFFICIENTS FOR C8H18,n-octane  
#      T         Cp        H-H298        S      -(G-H298)/T      H        delta Hf     log K
#    deg-K    J/mol-K      kJ/mol     J/mol-K     J/mol-K      kJ/mol      kJ/mol
#      0        0.        -37.780       0.        INFINITE   -246.530    -161.889    INFINITE
     300     188.706       0.348     468.514     467.354    -208.402    -209.009     -3.0724
     400     239.645      21.769     529.785     475.363    -186.981    -221.938    -12.4326
     500     286.696      48.139     588.433     492.155    -160.611    -232.484    -18.3616

     600     326.785      78.872     644.355     512.902    -129.878    -240.723    -22.4799
     700     360.189     113.272     697.317     535.500     -95.478    -246.941    -25.5123
     800     388.125     150.728     747.291     558.881     -58.022    -251.431    -27.8368
     900     411.693     190.752     794.405     582.458     -17.998    -254.456    -29.6722
    1000     431.375     232.938     838.834     605.896      24.188    -256.284    -31.1546

    1100     448.589     276.955     880.774     628.997      68.205    -257.160    -32.3739
    1200     463.675     322.585     920.467     651.647     113.835    -257.234    -33.3919
    1300     476.908     369.628     958.115     673.786     160.878    -256.660    -34.2524
    1400     488.528     417.913     993.893     695.383     209.163    -255.567    -34.9876
    1500     498.739     467.287    1027.953     716.429     258.537    -254.060    -35.6215

    1600     507.713     517.619    1060.434     736.922     308.869    -252.230    -36.1726
    1700     515.597     568.793    1091.455     756.871     360.043    -250.154    -36.6550
    1800     522.515     620.707    1121.126     776.289     411.957    -247.899    -37.0802
    1900     528.575     673.268    1149.543     795.192     464.518    -245.522    -37.4570
    2000     533.868     726.396    1176.793     813.595     517.646    -243.074    -37.7929

    2100     538.474     780.019    1202.955     831.518     571.269    -240.602    -38.0936
    2200     542.462     834.070    1228.099     848.976     625.320    -238.144    -38.3643
    2300     545.893     888.492    1252.290     865.989     679.742    -235.739    -38.6089
    2400     548.822     943.232    1275.587     882.573     734.482    -233.418    -38.8309
    2500     551.298     998.242    1298.042     898.746     789.492    -231.211    -39.0331

    2600     553.364    1053.478    1319.706     914.522     844.728    -229.144    -39.2181
    2700     555.058    1108.902    1340.623     929.919     900.152    -227.242    -39.3879
    2800     556.417    1164.478    1360.835     944.950     955.728    -225.525    -39.5443
    2900     557.471    1220.175    1380.379     959.629    1011.425    -224.015    -39.6889
    3000     558.252    1275.964    1399.293     973.971    1067.214    -222.730    -39.8230

    3100     558.785    1331.817    1417.607     987.988    1123.067    -221.685    -39.9478
    3200     559.096    1387.713    1435.353    1001.693    1178.963    -220.897    -40.0643
    3300     559.206    1443.630    1452.559    1015.096    1234.880    -220.378    -40.1734
