#   THERMODYNAMIC FUNCTIONS CALCULATED FROM COEFFICIENTS FOR CH4             
#      T         Cp        H-H298        S      -(G-H298)/T      H        delta Hf     log K
#    deg-K    J/mol-K      kJ/mol     J/mol-K     J/mol-K      kJ/mol      kJ/mol
#      0        0.        -10.016       0.        INFINITE    -84.616     -66.626    INFINITE
     300      35.760       0.066     186.592     186.372     -74.534     -74.656      8.7721
     400      40.618       3.869     197.500     187.826     -70.731     -77.690      5.4624
     500      46.585       8.226     207.196     190.745     -66.374     -80.506      3.3987

     600      52.691      13.190     216.231     194.247     -61.410     -82.975      1.9763
     700      58.543      18.755     224.797     198.004     -55.845     -85.058      0.9317
     800      64.013      24.886     232.976     201.868     -49.714     -86.754      0.1305
     900      69.066      31.544     240.811     205.763     -43.056     -88.080     -0.5037
    1000      73.676      38.685     248.331     209.646     -35.915     -89.069     -1.0178

    1100      77.849      46.264     255.552     213.494     -28.336     -89.759     -1.4425
    1200      81.628      54.241     262.490     217.289     -20.359     -90.187     -1.7986
    1300      85.032      62.577     269.161     221.025     -12.023     -90.390     -2.1009
    1400      88.098      71.236     275.577     224.694      -3.364     -90.399     -2.3604
    1500      90.866      80.187     281.751     228.293       5.587     -90.239     -2.5851

    1600      93.373      89.401     287.696     231.821      14.801     -89.933     -2.7812
    1700      95.656      98.854     293.427     235.277      24.254     -89.500     -2.9535
    1800      97.744     108.526     298.954     238.662      33.926     -88.953     -3.1058
    1900      99.666     118.397     304.291     241.977      43.797     -88.305     -3.2412
    2000     101.443     128.454     309.449     245.222      53.854     -87.567     -3.3621

    2100     103.097     138.682     314.439     248.400      64.082     -86.748     -3.4705
    2200     104.644     149.070     319.271     251.512      74.470     -85.852     -3.5681
    2300     106.101     159.608     323.955     254.561      85.008     -84.888     -3.6562
    2400     107.479     170.287     328.500     257.547      95.687     -83.858     -3.7361
    2500     108.790     181.101     332.915     260.474     106.501     -82.768     -3.8086

    2600     110.043     192.043     337.206     263.343     117.443     -81.619     -3.8747
    2700     111.247     203.108     341.382     266.157     128.508     -80.415     -3.9350
    2800     112.410     214.291     345.449     268.916     139.691     -79.157     -3.9901
    2900     113.537     225.589     349.413     271.624     150.989     -77.846     -4.0406
    3000     114.634     236.998     353.281     274.281     162.398     -76.485     -4.0869

    3100     115.707     248.515     357.057     276.891     173.915     -75.073     -4.1295
    3200     116.759     260.138     360.747     279.454     185.538     -73.611     -4.1687
    3300     117.794     271.866     364.356     281.972     197.266     -72.100     -4.2047
