#      T         Cp        H-H298        S      -(G-H298)/T      H        delta Hf     log K
#    deg-K    J/mol-K      kJ/mol     J/mol-K     J/mol-K      kJ/mol      kJ/mol
#      0        0.         -9.365       0.        INFINITE   -402.875    -393.142    INFINITE
     300      37.220       0.069     214.017     213.788    -393.441    -393.511     68.6661
     400      41.325       4.004     225.309     215.300    -389.506    -393.572     51.5362
     500      44.624       8.307     234.898     218.284    -385.203    -393.655     41.2565

     600      47.323      12.909     243.280     221.766    -380.601    -393.790     34.4015
     700      49.561      17.756     250.748     225.382    -375.754    -393.970     29.5031
     800      51.432      22.809     257.492     228.981    -370.701    -394.176     25.8275
     900      52.999      28.032     263.643     232.496    -365.478    -394.394     22.9671
    1000      54.309      33.400     269.297     235.897    -360.110    -394.613     20.6776

    1100      55.420      38.888     274.527     239.174    -354.622    -394.830     18.8033
    1200      56.347      44.478     279.390     242.325    -349.032    -395.043     17.2405
    1300      57.130      50.153     283.932     245.353    -343.357    -395.252     15.9174
    1400      57.798      55.900     288.191     248.262    -337.610    -395.459     14.7828
    1500      58.374      61.709     292.199     251.059    -331.801    -395.665     13.7989

    1600      58.873      67.572     295.982     253.750    -325.938    -395.875     12.9376
    1700      59.310      73.482     299.565     256.340    -320.028    -396.090     12.1772
    1800      59.693      79.432     302.966     258.837    -314.078    -396.314     11.5009
    1900      60.033      85.419     306.203     261.245    -308.091    -396.548     10.8954
    2000      60.335      91.438     309.290     263.571    -302.072    -396.795     10.3501

    2100      60.604      97.485     312.240     265.819    -296.025    -397.056      9.8565
    2200      60.846     103.558     315.065     267.994    -289.952    -397.334      9.4075
    2300      61.065     109.653     317.775     270.099    -283.857    -397.628      8.9971
    2400      61.263     115.770     320.378     272.141    -277.740    -397.941      8.6207
    2500      61.443     121.905     322.883     274.120    -271.605    -398.272      8.2742

    2600      61.608     128.058     325.296     276.043    -265.452    -398.624      7.9540
    2700      61.760     134.226     327.624     277.910    -259.284    -398.995      7.6573
    2800      61.901     140.410     329.872     279.726    -253.100    -399.387      7.3814
    2900      62.033     146.606     332.047     281.493    -246.904    -399.800      7.1244
    3000      62.156     152.816     334.152     283.213    -240.694    -400.232      6.8842

    3100      62.273     159.037     336.192     284.890    -234.473    -400.686      6.6593
    3200      62.385     165.270     338.171     286.524    -228.240    -401.160      6.4482
    3300      62.492     171.514     340.092     288.118    -221.996    -401.654      6.2497

