#      T         Cp        H-H298        S      -(G-H298)/T      H        delta Hf     log K
#    deg-K    J/mol-K      kJ/mol     J/mol-K     J/mol-K      kJ/mol      kJ/mol
#      0        0.         -9.904       0.        INFINITE   -251.730    -238.922    INFINITE
     400      34.265       3.452     198.784     190.154    -238.374    -242.847     29.2374
     500      35.225       6.925     206.529     192.680    -234.901    -243.827     22.8831

     600      36.324      10.501     213.047     195.545    -231.325    -244.758     18.6301
     700      37.499      14.192     218.734     198.460    -227.634    -245.632     15.5809
     800      38.728      18.003     223.821     201.317    -223.823    -246.444     13.2862
     900      39.998      21.939     228.456     204.079    -219.887    -247.185     11.4957
    1000      41.291      26.003     232.737     206.733    -215.823    -247.855     10.0592

    1100      42.574      30.197     236.732     209.281    -211.629    -248.456      8.8808
    1200      43.843      34.518     240.491     211.727    -207.308    -248.988      7.8966
    1300      45.065      38.964     244.049     214.077    -202.862    -249.455      7.0622
    1400      46.226      43.529     247.432     216.340    -198.297    -249.862      6.3457
    1500      47.318      48.206     250.659     218.521    -193.620    -250.213      5.7237

    1600      48.340      52.990     253.746     220.627    -188.836    -250.516      5.1788
    1700      49.292      57.872     256.705     222.663    -183.954    -250.774      4.6975
    1800      50.176      62.846     259.548     224.633    -178.980    -250.994      4.2693
    1900      50.996      67.905     262.283     226.543    -173.921    -251.179      3.8858
    2000      51.756      73.043     264.918     228.397    -168.783    -251.334      3.5404

    2100      52.458      78.254     267.461     230.197    -163.572    -251.462      3.2278
    2200      53.108      83.533     269.916     231.947    -158.293    -251.569      2.9434
    2300      53.709      88.874     272.291     233.649    -152.952    -251.656      2.6837
    2400      54.264      94.273     274.588     235.308    -147.553    -251.727      2.4455
    2500      54.777      99.726     276.814     236.924    -142.100    -251.785      2.2263

    2600      55.251     105.228     278.972     238.500    -136.598    -251.832      2.0240
    2700      55.690     110.775     281.065     240.037    -131.051    -251.871      1.8366
    2800      56.097     116.364     283.098     241.539    -125.462    -251.904      1.6626
    2900      56.474     121.993     285.073     243.007    -119.833    -251.932      1.5005
    3000      56.823     127.658     286.994     244.441    -114.168    -251.957      1.3492

    3100      57.149     133.357     288.862     245.844    -108.469    -251.981      1.2077
    3200      57.452     139.087     290.682     247.217    -102.739    -252.005      1.0750
    3300      57.736     144.847     292.454     248.561     -96.979    -252.031      0.9504
    3400      58.002     150.634     294.181     249.877     -91.192    -252.059      0.8330

